Airline;Source;Destination;Total_Stops;month;day_of_the_month;Duration_hours
0;3;0;4;12;4;2
4;3;0;0;5;21;8
6;2;1;0;5;27;10
6;2;1;0;5;27;11
4;3;0;0;5;24;7
3;2;1;0;3;21;7
8;1;4;4;5;15;2
3;2;1;0;6;24;7
6;2;1;0;9;5;8
3;3;0;0;1;5;5
4;2;1;0;12;6;23
6;2;1;0;9;3;6
4;0;2;4;6;24;3
4;2;1;0;3;6;19
8;3;0;4;6;27;2
8;2;1;0;6;27;4
8;4;3;4;5;15;1
3;3;0;4;3;21;2
1;2;1;1;6;15;26
1;0;5;0;3;21;12
1;2;1;1;6;24;14
3;0;5;4;3;24;2
4;0;2;4;4;21;3
4;4;3;4;6;21;1
6;2;1;0;6;15;8
1;3;0;1;5;15;19
0;0;5;4;3;24;2
3;2;1;0;1;6;9
4;0;2;4;12;5;3
4;2;1;1;5;27;26
1;2;1;1;5;21;21
3;0;2;4;3;4;2
3;0;2;4;9;6;2
4;2;1;0;5;21;16
4;4;3;4;1;5;1
1;2;1;1;9;3;25
4;4;3;4;5;15;1
6;2;1;0;6;15;9
6;2;1;0;6;3;11
8;2;1;0;4;24;6
1;2;1;1;12;6;28
1;0;5;0;3;15;27
4;3;0;0;9;5;12
4;2;1;1;5;18;22
8;3;0;4;9;6;2
1;0;5;4;3;3;2
1;4;3;4;5;21;1
1;2;1;1;3;21;26
1;0;5;0;1;3;8
4;2;1;1;1;6;18
1;3;0;1;5;21;14
4;2;1;0;9;6;7
4;3;0;0;5;21;19
4;3;0;0;6;5;7
10;3;0;0;5;24;11
6;2;1;0;6;24;8
6;2;1;0;9;6;11
0;2;1;0;5;18;14
3;2;1;0;6;27;4
6;2;1;1;6;15;7
4;3;0;0;6;6;11
4;0;2;4;5;18;3
3;4;3;4;1;5;1
6;2;1;0;3;27;10
8;3;0;4;6;5;2
4;2;1;0;5;18;5
1;2;1;1;5;21;21
3;2;1;0;5;21;11
4;0;5;0;6;3;20
3;2;1;0;9;6;5
8;4;3;4;6;6;1
8;1;4;4;3;24;2
4;2;1;1;3;3;47
3;2;1;4;6;21;3
1;2;1;1;1;6;21
4;3;0;0;6;5;13
1;0;2;4;6;27;2
10;2;1;4;3;21;2
1;2;1;0;1;6;5
4;0;5;0;1;3;21
4;3;0;0;12;5;5
4;0;2;4;3;5;3
8;1;4;4;3;18;2
6;2;1;0;3;3;12
1;2;1;1;6;24;26
4;0;2;4;6;21;2
4;2;1;0;12;6;6
0;3;0;4;9;3;2
4;2;1;1;6;27;23
4;3;0;0;6;5;12
1;2;1;0;4;21;26
3;2;1;0;1;6;10
3;4;3;4;5;18;1
4;2;1;1;12;6;17
3;4;3;4;3;21;1
3;3;0;4;1;3;2
4;3;0;0;1;4;28
10;1;4;4;1;6;2
4;4;3;4;6;15;1
3;3;0;4;6;3;2
6;2;1;0;3;6;7
10;3;0;0;5;24;14
1;0;5;0;3;15;25
4;3;0;0;12;5;9
1;3;0;1;6;5;16
10;0;2;4;9;5;2
4;3;0;0;5;24;5
4;3;0;0;6;5;16
3;0;2;4;6;5;2
6;2;1;0;1;6;11
4;3;0;0;5;18;9
4;3;0;0;12;6;12
6;2;1;0;3;6;10
4;2;1;0;6;15;10
6;2;1;1;6;24;7
6;2;1;0;5;27;15
8;3;0;4;6;4;2
3;4;3;4;6;21;1
4;2;1;1;6;3;38
1;0;2;4;3;5;2
1;0;5;0;3;21;21
3;0;5;4;9;3;2
0;0;5;4;3;24;2
10;3;0;0;5;21;25
3;0;2;4;5;27;2
1;4;3;4;6;24;1
3;2;1;0;6;3;16
4;0;2;4;6;21;2
6;2;1;0;12;6;13
6;2;1;0;5;15;7
0;0;5;4;3;15;2
8;3;0;0;6;6;5
1;3;0;1;9;6;17
4;3;0;0;5;24;11
4;2;1;0;3;6;22
10;2;1;4;12;6;3
3;3;0;4;3;15;2
3;2;1;0;6;3;5
4;3;0;0;5;15;9
3;2;1;0;9;5;7
1;2;1;1;5;27;20
6;2;1;0;3;27;14
4;2;1;0;1;6;6
8;2;1;0;4;21;4
4;3;0;0;12;5;14
4;3;0;0;5;21;27
4;2;1;0;3;27;24
4;2;1;1;6;15;17
4;3;0;0;9;5;16
3;0;2;4;6;4;2
4;2;1;1;6;5;7
3;2;1;0;5;24;6
3;3;0;4;6;24;2
4;2;1;1;9;5;26
6;2;1;1;3;27;14
8;1;4;4;5;27;2
6;2;1;0;3;27;11
4;4;3;4;1;6;1
6;2;1;0;6;6;15
4;2;1;1;9;5;19
4;2;1;0;5;18;11
3;0;2;4;3;5;2
8;1;4;4;9;3;2
1;0;5;4;3;24;2
6;2;1;0;6;15;10
1;1;4;4;3;18;2
8;2;1;0;4;21;6
4;3;0;0;12;5;7
4;2;1;0;5;21;5
3;1;4;4;3;15;2
4;4;3;4;12;5;1
4;3;0;0;1;5;13
4;0;2;4;4;18;2
3;3;0;0;3;24;4
3;2;1;0;6;6;5
4;3;0;0;12;6;23
4;2;1;1;6;27;16
4;0;5;0;3;24;5
1;2;1;1;9;4;14
4;3;0;0;1;5;13
4;3;0;0;5;24;12
3;3;0;0;5;18;5
4;3;0;0;1;5;27
3;3;0;4;3;18;2
4;2;1;1;3;21;17
4;2;1;1;9;6;21
4;3;0;0;5;21;13
3;3;0;4;5;21;2
6;2;1;0;3;21;9
2;0;2;4;5;24;2
6;2;1;1;6;3;11
3;3;0;4;1;6;2
4;4;3;4;5;21;1
8;2;1;0;4;27;4
4;2;1;0;9;5;7
4;3;0;0;1;5;16
4;3;0;0;5;18;24
3;2;1;4;6;6;3
6;2;1;0;5;15;12
1;0;5;0;3;21;12
4;3;0;0;6;6;12
6;2;1;1;9;3;7
1;3;0;1;12;5;30
8;3;0;0;6;6;7
0;2;1;0;6;3;14
0;3;0;4;5;21;2
6;2;1;0;5;18;6
4;0;5;0;12;3;15
1;2;1;1;9;5;18
1;3;0;1;9;5;19
4;0;2;4;4;27;2
1;3;0;0;1;5;13
3;2;1;0;5;21;8
3;4;3;4;6;15;1
1;3;0;1;1;5;14
10;0;2;4;5;27;2
8;2;1;0;3;6;4
1;3;0;1;12;6;13
1;2;1;0;5;21;12
0;3;0;4;5;21;2
4;3;0;0;1;5;24
3;2;1;0;4;27;5
4;2;1;0;6;6;16
1;2;1;2;6;27;26
3;2;1;0;4;24;5
0;2;1;0;4;27;10
1;3;0;4;9;6;2
4;4;3;4;3;27;1
3;3;0;4;5;15;2
6;2;1;0;6;27;13
4;0;5;0;3;18;6
1;3;0;0;9;5;13
3;2;1;0;5;27;8
6;2;1;0;12;6;15
6;2;1;0;1;6;10
1;1;4;4;5;15;2
4;0;2;4;3;4;3
4;2;1;0;6;27;6
4;3;0;0;1;4;27
4;2;1;0;5;18;5
8;1;4;4;5;18;2
1;0;2;4;4;18;2
3;2;1;0;3;27;7
6;2;1;0;3;6;14
4;3;0;0;5;24;5
8;0;2;4;4;24;2
4;3;0;0;3;24;9
3;4;3;4;3;15;1
1;2;1;0;5;21;5
10;3;0;0;6;5;15
4;0;5;0;6;3;21
4;0;5;0;1;3;7
4;2;1;0;6;3;5
4;3;0;0;5;24;14
4;3;0;0;9;6;7
4;2;1;0;5;21;6
4;3;0;0;12;5;25
6;2;1;0;9;6;10
1;2;1;1;6;5;30
4;2;1;1;1;6;22
4;3;0;0;9;5;15
4;3;0;0;5;18;25
6;2;1;0;3;21;8
3;2;1;0;3;21;15
0;3;0;0;5;18;11
10;0;2;4;1;6;2
4;2;1;0;5;27;21
1;2;1;0;9;6;5
2;0;2;4;3;5;2
0;0;2;4;6;5;2
3;2;1;0;6;24;14
6;2;1;0;12;6;11
6;2;1;0;12;6;12
4;0;5;0;3;18;24
3;1;4;4;1;6;2
6;2;1;0;5;27;10
6;2;1;0;3;6;11
2;3;0;0;5;15;7
3;2;1;0;3;6;12
10;1;4;4;3;27;2
10;3;0;0;6;5;16
3;0;2;4;3;5;3
4;2;1;1;9;6;22
10;3;0;0;5;15;14
4;3;0;0;6;6;26
10;2;1;4;3;27;3
6;2;1;0;6;15;6
3;0;2;4;5;18;2
4;2;1;0;9;6;7
4;2;1;0;3;27;22
0;2;1;0;1;6;5
10;3;0;0;1;4;5
6;2;1;0;1;6;8
4;3;0;0;5;18;6
6;2;1;0;6;24;8
1;0;5;4;3;24;2
6;2;1;0;9;5;8
3;3;0;4;6;21;2
8;1;4;4;6;6;2
1;3;0;0;6;6;26
4;0;2;4;9;6;2
4;3;0;0;9;6;16
4;3;0;0;12;5;16
3;2;1;0;5;18;5
3;2;1;0;5;27;10
6;2;1;0;1;6;12
1;4;3;4;9;5;1
4;3;0;0;5;21;11
4;2;1;0;5;21;21
3;3;0;4;6;18;2
8;3;0;4;4;15;2
3;0;2;4;5;24;2
4;3;0;0;6;5;27
6;2;1;0;5;15;10
3;0;2;4;6;5;2
1;2;1;4;5;21;3
4;3;0;0;5;24;7
4;2;1;1;9;6;29
1;4;3;4;3;24;1
10;4;3;0;6;3;12
3;2;1;0;3;27;11
0;3;0;0;5;21;15
6;2;1;0;5;15;8
1;0;5;1;3;18;35
4;3;0;0;5;24;21
3;3;0;0;6;5;4
1;2;1;1;6;3;20
1;4;3;4;6;3;1
8;2;1;0;9;3;5
4;0;2;4;4;24;3
4;0;2;4;1;4;2
4;3;0;0;5;18;7
8;2;1;0;5;27;4
4;4;3;4;3;21;1
4;2;1;1;9;6;7
3;4;3;4;3;6;1
3;3;0;4;3;24;2
4;2;1;0;5;18;18
1;0;5;4;3;18;2
8;1;4;4;5;18;2
4;4;3;4;6;18;1
1;2;1;1;9;3;23
4;0;2;4;4;21;2
3;0;2;4;5;24;2
1;3;0;1;9;5;8
4;3;0;0;1;5;7
6;2;1;0;1;3;6
4;2;1;0;9;3;23
4;2;1;0;6;27;21
3;0;2;4;6;21;2
1;2;1;0;5;18;14
1;2;1;1;9;6;37
6;2;1;0;3;3;6
1;2;1;1;5;18;26
3;2;1;0;12;6;14
4;2;1;0;5;21;7
4;2;1;0;5;21;16
6;2;1;0;12;6;7
1;0;5;1;1;3;28
3;0;5;0;3;21;5
4;2;1;1;5;21;8
4;3;0;0;6;6;23
1;0;5;0;3;3;14
3;3;0;0;1;4;4
1;0;2;4;1;4;2
4;2;1;1;9;6;22
3;2;1;0;6;6;5
4;2;1;1;5;21;29
1;3;0;4;6;3;2
3;0;2;4;5;18;2
4;0;5;0;3;21;17
3;3;0;4;12;4;2
6;2;1;0;3;27;8
6;2;1;0;5;27;10
6;2;1;1;3;27;8
3;2;1;0;3;27;6
6;2;1;0;5;18;13
4;2;1;4;6;24;3
1;3;0;1;12;5;19
6;2;1;0;5;21;8
3;3;0;4;6;5;2
8;3;0;4;4;21;2
3;2;1;0;9;6;6
8;1;4;4;6;15;2
3;1;4;4;6;6;2
1;3;0;1;5;15;19
4;0;2;4;9;4;3
2;0;5;0;3;3;4
4;3;0;0;12;5;12
6;2;1;0;6;6;7
3;3;0;4;3;5;2
1;2;1;0;6;6;25
2;2;1;0;3;4;6
1;3;0;4;4;18;2
4;2;1;1;9;5;9
4;2;1;1;9;5;18
3;2;1;0;6;15;5
6;2;1;0;6;27;7
4;3;0;0;12;6;14
8;1;4;4;3;27;2
1;3;0;1;9;6;19
3;2;1;0;6;4;5
1;2;1;0;6;15;16
1;0;2;4;6;5;2
3;2;1;0;3;3;4
4;0;5;0;9;3;12
4;3;0;0;5;18;9
3;3;0;4;6;5;2
4;0;2;4;6;5;2
3;4;3;4;3;18;1
0;0;2;4;5;24;2
1;0;2;4;4;15;2
3;2;1;0;5;27;5
4;0;5;0;3;18;10
6;2;1;0;1;6;8
3;3;0;4;5;24;2
3;0;5;0;1;3;4
3;2;1;0;3;21;8
3;2;1;0;5;21;4
4;0;2;4;1;5;3
4;0;5;0;6;3;10
1;4;3;4;3;18;1
1;4;3;1;12;3;13
4;2;1;1;6;6;22
3;2;1;0;9;3;5
4;0;2;4;5;15;2
1;0;2;4;6;24;2
4;0;2;4;9;4;2
8;3;0;4;5;18;2
4;4;3;1;6;3;26
10;3;0;0;5;24;25
1;4;3;4;1;4;1
8;0;2;4;4;15;2
3;4;3;4;1;5;1
8;3;0;4;3;24;2
3;3;0;4;9;6;2
3;2;1;0;6;6;4
4;0;2;4;9;6;3
4;3;0;0;6;6;15
8;0;2;4;9;6;2
6;2;1;0;9;3;9
4;2;1;0;3;27;15
4;0;5;0;6;3;4
3;2;1;0;6;3;9
3;2;1;0;12;6;4
1;2;1;1;3;6;30
3;0;2;4;4;15;2
1;2;1;1;9;3;37
1;2;1;1;6;24;26
4;2;1;0;5;21;20
4;3;0;0;6;5;25
3;2;1;0;12;6;11
4;3;0;0;12;5;23
6;2;1;0;6;24;10
3;3;0;4;5;15;2
4;2;1;0;1;4;20
3;2;1;0;3;21;14
3;1;4;4;3;21;2
0;2;1;0;3;6;9
4;0;5;0;3;15;7
4;0;5;0;3;21;7
4;0;5;0;6;3;22
3;0;2;4;3;6;2
4;2;1;0;9;5;20
0;0;5;4;9;3;2
4;3;0;0;5;18;22
4;2;1;0;9;3;25
3;2;1;0;6;24;5
4;0;2;4;6;21;2
0;3;0;0;1;4;12
4;3;0;0;9;6;11
4;0;5;0;1;3;21
6;2;1;0;3;6;9
4;0;5;0;12;3;13
4;3;0;0;5;24;8
6;2;1;0;6;3;8
6;2;1;0;12;6;10
8;4;3;4;5;21;1
3;1;4;4;5;18;2
3;4;3;4;1;6;1
4;0;2;4;5;21;3
4;2;1;0;5;27;23
3;4;3;4;3;27;1
4;0;5;0;3;18;6
4;2;1;1;6;15;9
4;2;1;0;5;27;20
1;3;0;1;1;5;19
3;2;1;0;5;27;13
8;1;4;4;5;21;2
4;2;1;1;6;6;7
10;2;1;4;3;15;3
3;2;1;4;9;6;3
1;0;2;4;5;18;2
4;3;0;0;5;24;7
4;0;2;4;9;5;2
3;2;1;0;12;6;7
4;0;2;4;4;27;2
1;3;0;1;12;6;28
4;2;1;0;5;21;8
6;2;1;0;3;27;9
1;3;0;1;1;4;15
1;2;1;1;3;27;37
2;0;5;4;1;3;2
1;2;1;0;5;15;11
0;0;2;4;6;18;2
6;2;1;0;9;5;15
6;2;1;0;5;18;10
4;2;1;1;6;6;16
3;1;4;4;12;5;2
3;0;2;4;9;6;2
6;2;1;0;12;6;9
8;3;0;4;1;4;2
4;2;1;1;9;5;23
3;2;1;0;9;6;8
4;2;1;1;6;3;33
4;0;5;0;9;3;14
1;2;1;0;9;3;27
8;3;0;4;5;27;2
4;4;3;4;3;27;1
3;2;1;0;3;3;7
4;4;3;4;5;18;1
3;2;1;0;9;5;4
4;3;0;0;9;5;6
1;2;1;0;5;21;10
6;2;1;0;6;27;11
1;2;1;1;9;5;21
3;2;1;0;6;3;16
4;0;5;0;9;3;25
4;2;1;0;3;27;24
3;1;4;4;5;24;2
4;3;0;0;12;6;15
6;2;1;0;12;6;14
3;2;1;0;3;27;12
4;2;1;0;12;6;10
4;3;0;0;6;6;13
3;0;2;4;4;24;2
4;0;2;4;9;6;3
3;0;5;4;3;3;2
4;2;1;1;1;6;21
3;3;0;4;3;27;2
8;0;5;4;3;24;2
4;2;1;1;3;21;9
3;2;1;0;6;3;8
1;0;5;1;3;18;28
3;2;1;0;6;6;8
3;2;1;0;12;6;12
3;0;2;4;5;15;2
4;4;3;4;6;6;1
4;2;1;1;9;5;13
8;1;4;4;9;5;2
10;3;0;0;6;5;11
4;3;0;0;1;5;6
8;0;2;4;9;5;2
8;3;0;0;1;4;5
8;1;4;4;5;18;2
4;2;1;0;5;21;11
4;2;1;1;3;27;37
3;0;5;4;3;3;2
4;2;1;0;6;6;21
3;0;2;4;6;24;2
6;2;1;0;3;6;6
6;2;1;0;5;18;15
6;2;1;0;3;6;7
3;3;0;0;1;5;4
8;2;1;0;1;4;5
10;2;1;4;3;21;3
4;0;5;0;12;3;22
1;0;5;1;3;15;30
3;3;0;0;4;15;5
2;3;0;4;6;27;2
4;2;1;1;6;24;21
4;2;1;1;12;6;28
1;2;1;0;6;27;12
3;4;3;4;12;5;1
0;2;1;0;5;18;14
0;3;0;4;5;24;2
1;3;0;1;3;4;25
8;1;4;4;3;21;2
1;2;1;0;3;27;9
0;3;0;0;6;6;3
4;2;1;0;9;5;9
6;2;1;0;6;15;7
1;2;1;1;9;5;14
4;0;5;0;12;3;12
10;3;0;0;5;18;27
8;4;3;4;6;24;1
3;2;1;0;3;6;13
4;3;0;0;9;6;13
4;3;0;0;9;5;12
4;2;1;0;6;6;23
4;3;0;0;12;6;27
3;2;1;0;6;4;4
4;0;2;4;4;24;3
1;2;1;0;6;6;9
6;2;1;0;12;6;7
8;4;3;4;12;6;1
1;3;0;1;6;6;22
3;0;2;4;9;5;2
4;2;1;1;9;6;22
3;2;1;0;4;24;4
1;2;1;0;5;18;12
8;3;0;0;12;6;8
1;0;5;4;3;15;2
4;2;1;0;6;3;16
4;2;1;0;6;6;9
6;2;1;0;5;21;8
4;2;1;0;6;6;20
4;2;1;1;5;18;8
4;3;0;0;1;5;7
4;3;0;0;1;4;9
1;2;1;1;6;3;16
6;2;1;0;3;3;13
6;2;1;0;3;27;8
1;2;1;1;5;27;21
10;2;1;4;1;6;3
4;3;0;0;5;24;26
1;2;1;1;5;27;28
3;0;2;4;6;4;2
4;4;3;4;5;27;1
4;2;1;1;5;21;27
3;2;1;0;1;6;4
1;2;1;0;5;24;23
1;0;2;4;3;6;2
8;3;0;4;4;24;2
3;0;2;4;3;6;3
4;0;2;4;3;5;3
8;0;2;4;5;15;2
3;0;2;4;4;24;2
4;2;1;0;5;21;5
4;0;2;4;6;21;3
1;2;1;1;1;6;20
4;2;1;0;3;6;19
1;3;0;0;1;5;28
1;2;1;1;5;21;29
1;0;5;1;1;3;25
1;1;4;4;1;5;2
4;0;2;4;6;15;2
4;2;1;1;6;15;18
6;2;1;0;5;15;8
4;2;1;1;6;24;19
3;0;2;4;6;5;2
0;0;2;4;5;24;2
1;0;2;4;12;6;2
4;3;0;0;12;5;15
4;2;1;1;5;18;29
3;4;3;4;12;5;1
8;1;4;4;3;24;2
3;2;1;0;9;6;15
4;0;5;0;3;15;24
3;2;1;0;6;24;13
3;0;2;4;4;21;2
4;0;5;0;6;3;23
2;2;1;0;6;4;9
0;0;2;4;5;15;2
2;2;1;0;6;15;6
4;2;1;1;5;18;15
1;3;0;0;1;5;15
8;4;3;4;9;5;1
8;3;0;4;6;6;2
4;0;5;0;1;3;12
6;2;1;0;6;6;7
1;0;5;0;3;21;14
1;2;1;1;12;6;38
6;2;1;0;3;21;12
3;0;2;4;1;5;2
3;2;1;0;5;18;9
8;0;2;4;6;27;2
2;2;1;0;5;27;6
4;3;0;0;3;24;6
4;3;0;0;6;6;25
1;0;5;2;1;3;30
4;0;2;4;4;21;3
4;2;1;1;9;6;13
4;0;5;0;12;3;17
8;3;0;4;3;3;2
3;3;0;4;6;27;2
3;1;4;4;12;6;2
6;2;1;0;6;3;13
4;3;0;0;12;6;9
3;0;5;4;3;24;2
4;0;5;0;12;3;12
4;2;1;1;6;3;24
4;2;1;0;12;6;5
4;3;0;0;5;15;15
1;2;1;1;3;6;23
0;3;0;4;3;18;2
4;2;1;0;12;6;10
4;2;1;1;12;6;13
4;3;0;0;5;21;14
6;2;1;0;6;15;7
4;2;1;1;9;5;13
3;2;1;0;6;5;13
2;3;0;0;1;5;8
6;2;1;0;3;6;12
3;2;1;0;6;15;14
4;2;1;0;6;27;27
4;0;5;0;12;3;14
4;3;0;0;12;6;9
4;3;0;0;12;5;15
3;3;0;4;4;27;2
3;2;1;4;3;21;3
8;2;1;0;3;4;4
3;3;0;0;9;6;4
2;0;2;4;6;6;2
3;4;3;4;6;6;1
6;2;1;0;5;27;10
4;3;0;0;5;18;12
4;2;1;0;5;21;6
3;0;5;4;3;15;2
3;0;5;4;9;3;2
6;2;1;0;3;27;7
3;0;2;4;12;5;2
3;3;0;4;9;4;2
4;2;1;1;6;27;29
4;3;0;0;5;15;7
8;3;0;4;3;5;2
3;2;1;4;6;27;3
1;0;5;1;1;3;16
10;4;3;0;6;3;18
1;3;0;0;5;15;28
4;2;1;0;5;18;23
4;3;0;0;6;5;22
3;3;0;4;1;3;2
8;4;3;4;5;24;1
8;1;4;4;3;27;2
3;0;5;0;3;21;4
1;0;5;0;3;18;28
1;3;0;1;12;6;27
4;3;0;0;1;5;17
4;0;5;0;3;18;6
1;2;1;0;5;27;16
4;2;1;0;6;3;9
4;3;0;0;6;6;22
3;3;0;4;6;21;2
3;2;1;0;5;18;5
10;0;5;0;3;21;15
4;3;0;0;5;18;13
4;3;0;0;3;24;17
10;4;3;0;6;3;17
3;2;1;0;4;24;5
1;2;1;0;6;4;5
4;2;1;0;1;6;14
3;1;4;4;6;5;2
1;2;1;0;5;27;15
4;0;5;0;6;3;22
8;0;2;4;9;5;2
3;4;3;4;6;18;1
6;2;1;0;6;24;15
4;0;2;4;12;6;3
1;0;5;0;9;3;26
3;0;5;4;3;21;2
3;2;1;0;1;6;6
4;2;1;0;6;6;23
8;3;0;4;9;6;2
4;2;1;0;1;6;10
4;3;0;0;12;5;11
4;2;1;0;5;27;27
4;2;1;0;5;18;6
3;0;2;4;6;18;2
0;3;0;1;9;6;8
4;0;2;4;6;18;3
1;2;1;1;5;15;20
3;1;4;4;5;27;2
3;3;0;4;6;18;2
4;2;1;0;9;3;7
8;3;0;4;3;18;2
4;3;0;0;9;6;12
6;2;1;0;9;3;11
8;3;0;4;6;21;2
3;0;2;4;12;4;2
3;3;0;0;5;24;4
4;2;1;0;9;6;18
4;2;1;1;5;18;8
6;2;1;0;6;6;13
1;2;1;0;6;15;10
6;2;1;0;9;5;13
4;3;0;0;6;5;13
10;0;2;4;4;21;2
4;0;2;4;4;24;2
3;2;1;0;6;24;12
4;2;1;1;5;21;7
2;2;1;0;5;18;6
3;3;0;4;4;27;2
0;0;5;4;3;18;2
3;2;1;0;3;21;14
3;2;1;0;6;24;5
8;1;4;4;6;21;2
4;2;1;0;6;3;8
4;4;3;4;9;6;1
1;4;3;1;6;3;33
4;0;5;0;1;3;6
1;2;1;1;6;15;23
3;0;2;4;6;21;2
4;3;0;0;5;18;26
4;3;0;0;1;4;7
3;4;3;4;12;6;1
1;2;1;1;3;21;36
4;3;0;0;5;21;28
4;3;0;0;12;6;12
4;2;1;0;3;21;6
4;2;1;1;9;6;17
3;4;3;4;5;24;1
4;2;1;0;6;15;10
8;3;0;0;6;6;8
7;2;1;0;3;21;13
4;3;0;0;3;24;17
8;2;1;0;1;6;5
3;2;1;0;5;15;5
4;0;5;0;12;3;14
1;2;1;1;6;3;38
1;3;0;0;3;24;11
6;2;1;0;9;3;7
4;2;1;1;1;6;21
3;3;0;4;3;3;2
3;2;1;4;5;21;3
3;2;1;0;9;3;13
1;2;1;4;4;15;2
6;2;1;0;5;15;8
4;2;1;0;5;27;6
4;2;1;0;6;15;23
0;2;1;0;9;6;5
4;0;2;4;6;27;2
4;2;1;0;9;3;24
4;2;1;0;6;6;8
3;0;2;4;6;27;2
10;0;2;4;9;4;2
4;2;1;0;5;18;25
8;4;3;0;6;3;8
4;3;0;0;9;5;12
1;4;3;1;6;3;14
6;2;1;0;5;27;8
3;0;5;4;3;24;2
3;2;1;4;6;21;3
4;2;1;1;6;3;24
4;2;1;0;3;6;16
4;3;0;0;5;24;14
3;0;2;4;3;4;2
4;0;5;0;3;21;14
4;3;0;0;6;5;9
4;2;1;0;12;6;11
4;2;1;0;6;27;10
3;1;4;4;3;3;2
1;0;5;0;9;3;23
4;3;0;0;1;5;12
3;3;0;0;3;24;5
4;3;0;0;1;4;27
3;2;1;4;3;6;3
1;3;0;1;5;21;23
6;2;1;0;6;6;9
3;4;3;4;3;21;1
4;0;2;4;6;6;2
4;0;5;0;6;3;17
4;3;0;0;3;24;22
1;2;1;0;4;21;11
4;0;2;4;5;15;2
1;2;1;1;6;24;28
4;2;1;1;5;24;29
6;2;1;0;6;24;12
4;4;3;4;5;24;1
4;3;0;0;1;4;26
3;4;3;4;3;6;1
10;0;2;4;1;5;2
0;3;0;4;6;21;2
3;2;1;0;12;6;16
4;2;1;0;6;6;10
4;3;0;0;9;5;15
0;2;1;0;4;27;14
1;2;1;1;6;27;23
1;2;1;1;6;3;19
0;2;1;0;6;6;10
8;3;0;4;1;5;2
1;2;1;1;3;6;24
6;2;1;0;9;5;14
1;3;0;0;9;5;9
4;3;0;0;9;5;20
1;0;2;4;9;4;3
4;3;0;0;3;24;22
3;0;2;4;12;4;2
1;3;0;0;5;24;9
4;0;5;0;12;3;19
4;2;1;0;5;18;26
1;3;0;1;5;21;20
3;4;3;4;6;15;1
3;3;0;4;12;5;2
4;2;1;1;6;27;26
6;2;1;0;6;3;15
8;3;0;4;6;27;2
3;2;1;0;5;21;13
6;2;1;0;1;6;10
10;0;2;4;4;24;2
3;2;1;4;9;6;3
4;2;1;0;6;15;22
3;0;5;4;1;3;2
4;3;0;0;1;4;24
4;2;1;0;6;27;11
1;2;1;1;5;18;23
4;2;1;1;1;6;26
6;2;1;1;12;6;7
3;0;2;4;5;27;2
0;3;0;1;6;6;8
6;2;1;0;5;21;9
1;3;0;4;5;27;2
4;2;1;0;3;6;10
6;2;1;0;6;24;9
6;2;1;0;3;21;7
2;2;1;0;4;21;7
4;2;1;1;5;27;23
4;3;0;0;1;5;5
4;0;2;4;6;4;2
4;0;2;4;12;4;2
3;2;1;0;5;18;16
2;0;5;0;1;3;4
1;2;1;0;5;15;6
4;3;0;0;5;21;7
4;0;2;4;6;24;3
3;1;4;4;12;3;2
4;3;0;0;1;5;24
2;2;1;0;1;6;6
4;3;0;0;9;6;12
4;3;0;0;5;21;11
3;2;1;0;6;3;13
8;0;2;4;6;4;2
4;3;0;0;5;15;16
4;0;5;0;1;3;15
4;0;5;0;3;15;6
3;0;2;4;3;4;3
1;2;1;0;6;24;12
4;3;0;0;5;24;17
3;3;0;4;6;15;2
4;3;0;0;9;6;22
4;3;0;0;9;6;9
8;0;2;4;9;6;2
4;2;1;0;6;3;9
8;3;0;4;5;15;2
4;2;1;0;5;27;23
4;2;1;1;6;6;13
4;2;1;1;6;15;15
6;2;1;0;6;15;13
6;2;1;0;6;24;15
6;2;1;0;5;21;6
4;0;5;0;6;3;22
4;2;1;1;9;3;14
4;3;0;0;1;5;28
1;3;0;0;12;6;24
6;2;1;0;6;27;11
3;2;1;0;6;3;15
4;2;1;0;12;6;13
4;4;3;4;1;3;1
1;0;2;4;5;24;2
1;2;1;1;3;21;24
6;2;1;0;6;15;15
3;4;3;4;3;15;1
3;4;3;4;5;18;1
6;2;1;1;6;27;7
8;2;1;0;4;21;4
4;3;0;0;5;15;6
4;2;1;1;5;27;26
2;0;2;4;1;5;2
1;3;0;1;12;6;20
4;3;0;0;5;24;25
3;3;0;4;4;15;2
1;0;5;1;1;3;29
6;2;1;0;9;4;10
0;0;2;4;5;15;2
2;0;5;4;1;3;2
4;0;2;4;1;4;3
4;0;2;4;6;5;3
3;2;1;0;3;3;10
4;2;1;0;5;27;8
6;2;1;0;5;18;7
1;2;1;0;6;6;14
8;2;1;0;1;4;4
4;3;0;0;9;5;11
1;2;1;1;6;6;19
1;2;1;1;6;6;7
4;3;0;0;3;24;9
4;2;1;1;9;5;29
0;2;1;0;1;6;10
1;0;5;1;12;3;24
4;2;1;1;9;6;27
8;3;0;4;4;24;2
3;1;4;4;6;15;2
8;3;0;0;9;6;7
4;3;0;0;5;24;14
1;0;2;4;4;24;2
10;3;0;0;9;6;25
4;4;3;4;6;18;1
1;2;1;1;1;6;23
0;0;2;4;3;4;2
1;3;0;1;5;21;13
4;3;0;0;5;21;28
3;1;4;4;6;27;2
1;2;1;1;12;6;26
6;2;1;0;6;3;8
4;0;2;4;6;27;3
3;4;3;4;5;24;1
3;2;1;0;5;27;14
